City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,milkovo,RU,2021-10-03 21:25:42,54.7167,158.6167,43.48,88,100,12.64,overcast clouds
1,rikitea,PF,2021-10-03 21:25:42,-23.1203,-134.9692,73.62,63,83,17.25,broken clouds
2,mataura,NZ,2021-10-03 21:25:42,-46.1927,168.8643,47.48,85,100,8.16,overcast clouds
3,alekseyevka,RU,2021-10-03 21:25:43,50.6309,38.6903,51.03,62,78,5.7,broken clouds
4,sao miguel,BR,2021-10-03 21:25:43,-5.4667,-35.3667,81.37,72,4,15.77,clear sky
5,punta arenas,CL,2021-10-03 21:20:06,-53.15,-70.9167,44.71,57,0,34.52,clear sky
6,kostomuksha,RU,2021-10-03 21:25:44,64.571,30.5767,43.68,87,88,10.31,overcast clouds
7,burnie,AU,2021-10-03 21:25:44,-41.0667,145.9167,55.92,96,100,11.72,light rain
8,atuona,PF,2021-10-03 21:20:37,-9.8,-139.0333,77.7,75,13,17.78,few clouds
9,castro,BR,2021-10-03 21:20:55,-24.7911,-50.0119,63.72,99,100,4.59,heavy intensity rain
10,provideniya,RU,2021-10-03 21:20:20,64.3833,-173.3,32.11,69,75,6.71,broken clouds
11,saint-leu,RE,2021-10-03 21:21:51,-21.15,55.2833,72.46,75,0,4.09,clear sky
12,ballina,AU,2021-10-03 21:17:46,-28.8667,153.5667,67.78,52,13,7.25,few clouds
13,carmen,MX,2021-10-03 21:25:45,18.6333,-91.8333,87.84,62,75,11.5,broken clouds
14,santa maria,BR,2021-10-03 21:22:38,-29.6842,-53.8069,67.3,77,75,2.3,broken clouds
15,bambous virieux,MU,2021-10-03 21:20:58,-20.3428,57.7575,72.21,83,40,11.5,light rain
16,saint-philippe,RE,2021-10-03 21:20:14,-21.3585,55.7679,72.99,84,45,14.72,light rain
17,saint george,US,2021-10-03 21:17:46,37.1041,-113.5841,89.44,16,1,1.01,clear sky
18,ushuaia,AR,2021-10-03 21:20:20,-54.8,-68.3,40.66,75,75,36.82,broken clouds
19,rio grande,BR,2021-10-03 21:21:30,-32.035,-52.0986,62.71,74,100,18.3,overcast clouds
20,ambon,ID,2021-10-03 21:25:46,-3.6954,128.1814,75.34,94,40,8.05,scattered clouds
21,hobart,AU,2021-10-03 21:17:41,-42.8794,147.3294,54.1,96,75,4.61,broken clouds
22,lagoa,PT,2021-10-03 21:20:57,39.05,-27.9833,70.7,92,38,11.52,scattered clouds
23,bluff,NZ,2021-10-03 21:20:48,-46.6,168.3333,47.8,82,100,24.27,overcast clouds
24,lebu,CL,2021-10-03 21:21:04,-37.6167,-73.65,51.53,72,0,21.72,clear sky
25,isangel,VU,2021-10-03 21:22:12,-19.55,169.2667,80.71,89,75,2.3,broken clouds
26,albany,US,2021-10-03 21:20:04,42.6001,-73.9662,64.09,90,100,0.89,overcast clouds
27,upernavik,GL,2021-10-03 21:21:14,72.7868,-56.1549,30.58,90,100,4.5,overcast clouds
28,tasiilaq,GL,2021-10-03 21:21:03,65.6145,-37.6368,37.56,54,0,5.3,clear sky
29,sao filipe,CV,2021-10-03 21:21:17,14.8961,-24.4956,80.51,77,81,6.67,broken clouds
30,langham,CA,2021-10-03 21:25:47,52.3668,-106.9679,74.01,18,0,6.35,clear sky
31,kushima,JP,2021-10-03 21:25:47,31.4583,131.2333,72.91,74,0,6.24,clear sky
32,sudak,UA,2021-10-03 21:20:14,44.85,34.9667,57.27,71,97,11.68,overcast clouds
33,hermanus,ZA,2021-10-03 21:20:25,-34.4187,19.2345,53.91,68,64,8.37,broken clouds
34,tabuk,PH,2021-10-03 21:25:48,17.4189,121.4443,73.35,94,59,2.42,broken clouds
35,qaqortoq,GL,2021-10-03 21:24:38,60.7167,-46.0333,41.5,73,0,8.95,clear sky
36,mazara del vallo,IT,2021-10-03 21:25:48,37.6641,12.588,73.99,74,4,18.86,clear sky
37,riyadh,SA,2021-10-03 21:24:52,24.6877,46.7219,82.54,15,17,7.18,few clouds
38,zemio,CF,2021-10-03 21:25:49,5.0314,25.1361,69.22,93,93,3.13,overcast clouds
39,chuy,UY,2021-10-03 21:19:56,-33.6971,-53.4616,55.6,64,75,12.37,broken clouds
40,east london,ZA,2021-10-03 21:20:50,-33.0153,27.9116,57.83,71,50,5.19,light rain
41,busselton,AU,2021-10-03 21:19:52,-33.65,115.3333,53.62,65,96,6.02,overcast clouds
42,vila franca do campo,PT,2021-10-03 21:25:49,37.7167,-25.4333,73.2,87,98,4.45,overcast clouds
43,chernyshevskiy,RU,2021-10-03 21:25:50,63.0128,112.4714,30.06,98,100,3.15,overcast clouds
44,cap malheureux,MU,2021-10-03 21:19:13,-19.9842,57.6142,72.46,72,18,8.99,light rain
45,shelburne,CA,2021-10-03 21:25:50,44.0787,-80.2041,67.23,87,100,6.58,overcast clouds
46,north bend,US,2021-10-03 21:20:47,43.4065,-124.2243,76.24,69,1,19.57,clear sky
47,peachland,CA,2021-10-03 21:25:51,49.7665,-119.7357,72.86,36,13,1.99,few clouds
48,rawson,AR,2021-10-03 21:25:51,-43.3002,-65.1023,61.77,31,23,12.84,few clouds
49,rioja,AR,2021-10-03 21:25:51,-29.4111,-66.8507,69.98,22,0,9.24,clear sky
50,hithadhoo,MV,2021-10-03 21:20:33,-0.6,73.0833,82.98,77,85,18.3,overcast clouds
51,longyearbyen,SJ,2021-10-03 21:15:29,78.2186,15.6401,37.24,93,75,0.0,broken clouds
52,cidreira,BR,2021-10-03 21:20:58,-30.1811,-50.2056,65.39,95,100,8.57,overcast clouds
53,aklavik,CA,2021-10-03 21:22:45,68.2191,-135.0107,34.63,96,100,17.09,overcast clouds
54,butaritari,KI,2021-10-03 21:20:06,3.0707,172.7902,82.44,67,99,17.69,overcast clouds
55,yellowknife,CA,2021-10-03 21:16:31,62.456,-114.3525,53.42,44,40,13.8,scattered clouds
56,veere,NL,2021-10-03 21:25:52,51.5483,3.6667,57.94,92,20,11.01,few clouds
57,kiomboi,TZ,2021-10-03 21:25:53,-4.2667,34.3667,75.11,45,100,6.17,overcast clouds
58,chulman,RU,2021-10-03 21:25:53,56.8479,124.9104,19.08,99,64,2.62,broken clouds
59,korla,CN,2021-10-03 21:24:01,41.7597,86.1469,47.59,29,39,4.79,scattered clouds
60,valreas,FR,2021-10-03 21:25:54,44.3837,4.9908,58.62,93,100,3.89,overcast clouds
61,vaini,TO,2021-10-03 21:20:08,-21.2,-175.2,75.36,88,90,10.36,overcast clouds
62,carnarvon,AU,2021-10-03 21:20:14,-24.8667,113.6333,59.07,82,0,9.22,clear sky
63,jamestown,US,2021-10-03 21:20:39,42.097,-79.2353,68.02,97,90,4.0,overcast clouds
64,adrar,MR,2021-10-03 21:21:43,20.5022,-10.0711,94.3,11,9,4.63,clear sky
65,port hardy,CA,2021-10-03 21:20:51,50.6996,-127.4199,50.18,76,75,9.22,light intensity shower rain
66,new norfolk,AU,2021-10-03 21:20:32,-42.7826,147.0587,53.74,87,56,1.79,broken clouds
67,manhumirim,BR,2021-10-03 21:25:55,-20.3578,-41.9581,76.6,63,67,3.02,broken clouds
68,fort nelson,CA,2021-10-03 21:21:40,58.8053,-122.7002,49.59,34,75,13.8,broken clouds
69,dunedin,NZ,2021-10-03 21:21:45,-45.8742,170.5036,46.98,92,100,13.56,overcast clouds
70,cherskiy,RU,2021-10-03 21:20:15,68.75,161.3,16.18,97,94,2.51,overcast clouds
71,camocim,BR,2021-10-03 21:25:55,-2.9022,-40.8411,81.9,72,3,20.15,clear sky
72,launceston,AU,2021-10-03 21:25:56,-41.45,147.1667,55.04,93,90,1.99,heavy intensity drizzle
73,ribeira grande,PT,2021-10-03 21:20:44,38.5167,-28.7,72.01,89,27,7.38,scattered clouds
74,van,TR,2021-10-03 21:25:56,38.4924,43.3831,63.75,52,20,9.22,few clouds
75,thinadhoo,MV,2021-10-03 21:25:57,0.5333,72.9333,82.56,76,47,17.92,scattered clouds
76,bredasdorp,ZA,2021-10-03 21:20:21,-34.5322,20.0403,47.28,75,55,1.9,broken clouds
77,broken hill,AU,2021-10-03 21:25:58,-31.95,141.4333,55.11,54,0,12.66,clear sky
78,knysna,ZA,2021-10-03 21:25:58,-34.0363,23.0471,50.38,88,40,5.35,light rain
79,kavieng,PG,2021-10-03 21:20:49,-2.5744,150.7967,81.5,73,100,4.21,overcast clouds
80,ahipara,NZ,2021-10-03 21:20:38,-35.1667,173.1667,60.84,97,98,11.03,overcast clouds
81,dongdu,CN,2021-10-03 21:25:59,35.85,117.7,70.11,96,100,0.96,overcast clouds
82,port macquarie,AU,2021-10-03 21:21:12,-31.4333,152.9167,62.89,59,95,7.31,overcast clouds
83,mezen,RU,2021-10-03 21:25:59,65.8522,44.24,43.59,90,99,5.64,overcast clouds
84,qaanaaq,GL,2021-10-03 21:20:44,77.484,-69.3632,30.13,97,100,7.29,overcast clouds
85,san patricio,US,2021-10-03 21:21:39,28.017,-97.5169,92.12,47,85,8.08,overcast clouds
86,locri,IT,2021-10-03 21:26:00,38.2414,16.2623,70.83,73,36,2.66,scattered clouds
87,victoria,HK,2021-10-03 21:18:49,22.2855,114.1577,84.33,81,88,4.0,overcast clouds
88,rawlins,US,2021-10-03 21:26:00,41.7911,-107.2387,69.69,17,1,11.5,clear sky
89,dingle,PH,2021-10-03 21:20:55,10.9995,122.6711,75.34,95,100,5.61,moderate rain
90,mar del plata,AR,2021-10-03 21:20:31,-38.0023,-57.5575,54.0,56,40,17.0,scattered clouds
91,bethel,US,2021-10-03 21:19:55,41.3712,-73.414,73.89,76,90,3.44,overcast clouds
92,tahe,CN,2021-10-03 21:26:01,52.3333,124.7333,28.72,84,1,3.36,clear sky
93,balabac,PH,2021-10-03 21:26:01,7.9868,117.0645,79.72,83,100,9.8,light rain
94,los algarrobos,PA,2021-10-03 21:26:01,8.5,-82.4333,82.45,88,40,5.75,scattered clouds
95,padang,ID,2021-10-03 21:24:36,-0.9492,100.3543,76.71,87,93,2.68,overcast clouds
96,khatanga,RU,2021-10-03 21:26:02,71.9667,102.5,18.45,94,99,11.83,overcast clouds
97,ambanja,MG,2021-10-03 21:21:04,-13.6833,48.45,73.49,80,67,2.35,broken clouds
98,pathein,MM,2021-10-03 21:26:03,16.7833,94.7333,77.09,93,100,1.66,overcast clouds
99,cabo san lucas,MX,2021-10-03 21:20:06,22.8909,-109.9124,88.9,65,20,9.22,few clouds
100,tokur,RU,2021-10-03 21:26:03,53.1333,132.9,23.41,90,9,1.25,clear sky
101,boa vista,BR,2021-10-03 21:26:03,2.8197,-60.6733,91.38,49,40,11.5,scattered clouds
102,hami,CN,2021-10-03 21:20:37,42.8,93.45,46.42,33,0,3.36,clear sky
103,lavrentiya,RU,2021-10-03 21:22:30,65.5833,-171.0,25.95,69,14,2.28,few clouds
104,santa marta de tormes,ES,2021-10-03 21:26:04,40.9506,-5.6272,55.85,63,2,4.61,clear sky
105,kholm,RU,2021-10-03 21:26:05,59.2667,32.85,40.06,90,2,6.24,clear sky
106,meulaboh,ID,2021-10-03 21:24:19,4.1363,96.1285,74.75,87,59,3.78,broken clouds
107,tessalit,ML,2021-10-03 21:26:05,20.1986,1.0114,89.13,12,99,11.39,overcast clouds
108,tuatapere,NZ,2021-10-03 21:20:34,-46.1333,167.6833,47.82,92,100,3.47,overcast clouds
109,bengkulu,ID,2021-10-03 21:23:17,-3.8004,102.2655,74.7,91,96,3.31,light rain
110,sao geraldo do araguaia,BR,2021-10-03 21:26:06,-6.4006,-48.555,85.21,54,100,2.66,overcast clouds
111,cape town,ZA,2021-10-03 21:15:58,-33.9258,18.4232,56.08,59,20,10.36,few clouds
112,nanortalik,GL,2021-10-03 21:20:26,60.1432,-45.2371,39.16,80,0,5.37,clear sky
113,bilibino,RU,2021-10-03 21:26:06,68.0546,166.4372,13.26,96,91,3.62,overcast clouds
114,kapaa,US,2021-10-03 21:20:22,22.0752,-159.319,80.58,93,90,3.0,moderate rain
115,umtata,ZA,2021-10-03 21:23:02,-31.5889,28.7844,48.76,93,97,5.75,overcast clouds
116,malanje,AO,2021-10-03 21:26:07,-9.5402,16.341,72.66,51,97,6.87,overcast clouds
117,santa cruz,BO,2021-10-03 21:26:07,-17.8,-63.1667,92.66,49,40,13.8,scattered clouds
118,guerrero negro,MX,2021-10-03 21:23:29,27.9769,-114.0611,86.68,40,75,10.56,broken clouds
119,ubauro,PK,2021-10-03 21:26:08,28.1652,69.7289,87.93,54,4,10.74,clear sky
120,codrington,AU,2021-10-03 21:20:07,-38.2667,141.9667,49.84,88,54,17.92,broken clouds
121,georgetown,MY,2021-10-03 21:19:50,5.4112,100.3354,80.89,91,20,0.0,few clouds
122,paptalaya,HN,2021-10-03 21:26:08,15.5,-84.3167,87.84,67,68,5.14,broken clouds
123,bathsheba,BB,2021-10-03 21:21:44,13.2167,-59.5167,86.61,66,20,21.85,few clouds
124,emerald,AU,2021-10-03 21:22:24,-23.5333,148.1667,71.35,71,0,11.72,clear sky
125,palaia fokaia,GR,2021-10-03 21:26:09,37.72,23.9463,66.76,59,21,16.62,few clouds
126,karakol,KG,2021-10-03 21:26:09,42.4907,78.3936,43.02,54,100,1.36,overcast clouds
127,dikson,RU,2021-10-03 21:23:24,73.5069,80.5464,35.04,98,100,24.61,light rain
128,nantucket,US,2021-10-03 21:23:49,41.2835,-70.0995,69.04,88,91,10.27,overcast clouds
129,skjervoy,NO,2021-10-03 21:26:10,70.0311,20.9714,51.17,69,100,22.46,overcast clouds
130,pergamino,AR,2021-10-03 21:26:10,-33.89,-60.5736,67.24,28,7,9.82,clear sky
131,marienburg,PL,2021-10-03 21:21:38,54.0359,19.0266,57.88,67,89,13.91,overcast clouds
132,geraldton,AU,2021-10-03 21:26:11,-28.7667,114.6,48.61,87,40,9.22,scattered clouds
133,filingue,NE,2021-10-03 21:26:11,14.3521,3.3168,95.81,26,73,8.66,broken clouds
134,polyarnyy,RU,2021-10-03 21:26:12,69.1989,33.4478,41.47,79,71,21.16,broken clouds
135,puerto ayora,EC,2021-10-03 21:20:20,-0.7393,-90.3518,76.96,78,32,11.34,scattered clouds
136,ipameri,BR,2021-10-03 21:26:12,-17.7219,-48.1597,85.37,36,78,8.77,broken clouds
137,yumen,CN,2021-10-03 21:21:45,40.2833,97.2,41.54,43,99,11.61,overcast clouds
138,jalaun,IN,2021-10-03 21:26:12,26.1451,79.3366,84.2,69,28,5.66,scattered clouds
139,vostok,RU,2021-10-03 21:22:30,46.4856,135.8833,43.21,97,100,3.94,overcast clouds
140,katsuura,JP,2021-10-03 21:21:49,35.1333,140.3,69.91,78,2,6.93,clear sky
141,tuktoyaktuk,CA,2021-10-03 21:20:43,69.4541,-133.0374,33.8,100,90,16.11,light intensity drizzle
142,vardo,NO,2021-10-03 21:24:11,70.3705,31.1107,51.55,77,97,27.54,overcast clouds
143,severo-kurilsk,RU,2021-10-03 21:20:58,50.6789,156.125,47.53,78,76,35.57,broken clouds
144,evensk,RU,2021-10-03 21:20:41,61.95,159.2333,39.97,63,100,19.89,overcast clouds
145,saint-pierre,RE,2021-10-03 21:26:13,-21.3393,55.4781,73.08,68,90,3.44,overcast clouds
146,axim,GH,2021-10-03 21:20:47,4.8699,-2.2405,77.76,90,99,7.78,overcast clouds
147,kosonsoy,UZ,2021-10-03 21:26:14,41.2561,71.5508,45.16,89,25,4.85,scattered clouds
148,olga,RU,2021-10-03 21:26:14,43.7444,135.2892,59.81,97,100,2.86,moderate rain
149,chamba,IN,2021-10-03 21:26:15,32.5667,76.1333,67.62,77,0,7.2,clear sky
150,beringovskiy,RU,2021-10-03 21:21:08,63.05,179.3167,38.77,99,100,5.97,light rain
151,nikolskoye,RU,2021-10-03 21:20:28,59.7035,30.7861,46.87,89,0,7.58,clear sky
152,tirat karmel,IL,2021-10-03 21:26:15,32.7617,34.9719,72.63,68,0,8.3,clear sky
153,birao,CF,2021-10-03 21:21:55,10.2849,22.7882,74.75,80,93,5.26,overcast clouds
154,portland,US,2021-10-03 21:16:48,45.5234,-122.6762,72.86,63,20,1.01,few clouds
155,gigmoto,PH,2021-10-03 21:26:16,13.7796,124.39,81.03,87,100,15.14,light rain
156,saskylakh,RU,2021-10-03 21:16:13,71.9167,114.0833,17.15,92,99,11.77,overcast clouds
157,tura,IN,2021-10-03 21:23:56,25.5198,90.2201,70.92,98,80,4.09,broken clouds
158,souillac,MU,2021-10-03 21:21:01,-20.5167,57.5167,72.36,83,40,11.5,scattered clouds
159,lata,PT,2021-10-03 21:20:09,40.1629,-8.3327,58.82,84,36,0.87,scattered clouds
160,taoudenni,ML,2021-10-03 21:26:17,22.6783,-3.9836,96.84,9,87,10.65,overcast clouds
161,lompoc,US,2021-10-03 21:21:34,34.6391,-120.4579,95.68,50,1,13.8,clear sky
162,puerto escondido,MX,2021-10-03 21:26:17,15.85,-97.0667,88.63,55,75,8.05,broken clouds
163,novovarshavka,RU,2021-10-03 21:26:18,54.1721,74.6946,34.23,97,100,9.17,light rain
164,hauterive,FR,2021-10-03 21:26:18,46.0901,3.4459,54.36,96,100,5.75,light rain
165,aquiraz,BR,2021-10-03 21:26:18,-3.9014,-38.3911,82.49,80,1,13.0,clear sky
166,ode,NG,2021-10-03 21:26:19,7.7899,5.7117,70.93,94,86,4.94,light rain
167,san quintin,MX,2021-10-03 21:22:25,30.4833,-115.95,80.4,39,100,8.5,overcast clouds
168,port alfred,ZA,2021-10-03 21:20:18,-33.5906,26.891,55.62,76,35,6.33,light rain
169,bo rai,TH,2021-10-03 21:26:19,12.5728,102.5371,80.85,95,76,0.54,broken clouds
170,egvekinot,RU,2021-10-03 21:20:29,66.3167,-179.1667,26.8,98,100,3.85,snow
171,kenai,US,2021-10-03 21:24:10,60.5544,-151.2583,45.14,52,1,5.75,clear sky
172,zaysan,KZ,2021-10-03 21:22:13,47.4667,84.8667,39.81,60,98,0.6,overcast clouds
173,sola,VU,2021-10-03 21:26:20,-13.8833,167.55,81.27,83,40,5.75,scattered clouds
174,karratha,AU,2021-10-03 21:24:11,-20.7377,116.8463,69.12,66,0,6.67,clear sky
175,nyurba,RU,2021-10-03 21:21:19,63.2842,118.3319,26.19,89,91,4.63,overcast clouds
176,marovoay,MG,2021-10-03 21:26:20,-16.1,46.6333,71.74,75,37,4.45,scattered clouds
177,hilo,US,2021-10-03 21:15:38,19.7297,-155.09,80.8,72,90,6.91,light rain
178,changli,CN,2021-10-03 21:24:18,39.7042,119.1506,62.85,69,100,11.03,light rain
179,syracuse,IT,2021-10-03 21:26:21,37.0881,15.2792,69.85,66,7,3.78,clear sky
180,manadhoo,MV,2021-10-03 21:26:21,5.7667,73.3833,81.84,78,47,17.13,scattered clouds
181,aksarka,RU,2021-10-03 21:21:07,66.5606,67.7975,29.37,78,90,9.01,overcast clouds
182,matara,LK,2021-10-03 21:23:46,5.9485,80.5353,77.34,90,84,7.34,broken clouds
183,nuuk,GL,2021-10-03 21:22:38,64.1835,-51.7216,45.21,57,17,14.97,few clouds
184,esna,EG,2021-10-03 21:26:22,25.2934,32.554,78.13,37,0,15.14,clear sky
